score, v[0], v[1], v[2], v[3], v[4], v[5], v[6], v[7], v[8], v[9]
57, 0, 1, 2, 3, 4, 5, 6, 7, 11, 18
57, 0, 1, 2, 3, 4, 5, 6, 7, 12, 17
57, 0, 1, 2, 3, 4, 5, 6, 7, 13, 16
57, 0, 1, 2, 3, 4, 5, 6, 7, 14, 15
57, 0, 1, 2, 3, 4, 5, 6, 8, 9, 19
57, 0, 1, 2, 3, 4, 5, 6, 8, 10, 18
57, 0, 1, 2, 3, 4, 5, 6, 8, 11, 17
57, 0, 1, 2, 3, 4, 5, 6, 8, 12, 16
57, 0, 1, 2, 3, 4, 5, 6, 8, 13, 15
57, 0, 1, 2, 3, 4, 5, 6, 9, 10, 17
57, 0, 1, 2, 3, 4, 5, 6, 9, 11, 16
57, 0, 1, 2, 3, 4, 5, 6, 9, 12, 15
57, 0, 1, 2, 3, 4, 5, 6, 9, 13, 14
57, 0, 1, 2, 3, 4, 5, 6, 10, 11, 15
57, 0, 1, 2, 3, 4, 5, 6, 10, 12, 14
57, 0, 1, 2, 3, 4, 5, 6, 11, 12, 13
57, 0, 1, 2, 3, 4, 5, 7, 8, 9, 18
57, 0, 1, 2, 3, 4, 5, 7, 8, 10, 17
57, 0, 1, 2, 3, 4, 5, 7, 8, 11, 16
57, 0, 1, 2, 3, 4, 5, 7, 8, 12, 15
57, 0, 1, 2, 3, 4, 5, 7, 8, 13, 14
57, 0, 1, 2, 3, 4, 5, 7, 9, 10, 16
57, 0, 1, 2, 3, 4, 5, 7, 9, 11, 15
57, 0, 1, 2, 3, 4, 5, 7, 9, 12, 14
57, 0, 1, 2, 3, 4, 5, 7, 10, 11, 14
57, 0, 1, 2, 3, 4, 5, 7, 10, 12, 13
57, 0, 1, 2, 3, 4, 5, 8, 9, 10, 15
57, 0, 1, 2, 3, 4, 5, 8, 9, 11, 14
57, 0, 1, 2, 3, 4, 5, 8, 9, 12, 13
57, 0, 1, 2, 3, 4, 5, 8, 10, 11, 13
57, 0, 1, 2, 3, 4, 5, 9, 10, 11, 12
57, 0, 1, 2, 3, 4, 6, 7, 8, 9, 17
57, 0, 1, 2, 3, 4, 6, 7, 8, 10, 16
57, 0, 1, 2, 3, 4, 6, 7, 8, 11, 15
57, 0, 1, 2, 3, 4, 6, 7, 8, 12, 14
57, 0, 1, 2, 3, 4, 6, 7, 9, 10, 15
57, 0, 1, 2, 3, 4, 6, 7, 9, 11, 14
57, 0, 1, 2, 3, 4, 6, 7, 9, 12, 13
57, 0, 1, 2, 3, 4, 6, 7, 10, 11, 13
57, 0, 1, 2, 3, 4, 6, 8, 9, 10, 14
57, 0, 1, 2, 3, 4, 6, 8, 9, 11, 13
57, 0, 1, 2, 3, 4, 6, 8, 10, 11, 12
57, 0, 1, 2, 3, 4, 7, 8, 9, 10, 13
57, 0, 1, 2, 3, 4, 7, 8, 9, 11, 12
57, 0, 1, 2, 3, 5, 6, 7, 8, 9, 16
57, 0, 1, 2, 3, 5, 6, 7, 8, 10, 15
57, 0, 1, 2, 3, 5, 6, 7, 8, 11, 14
57, 0, 1, 2, 3, 5, 6, 7, 8, 12, 13
57, 0, 1, 2, 3, 5, 6, 7, 9, 10, 14
57, 0, 1, 2, 3, 5, 6, 7, 9, 11, 13
57, 0, 1, 2, 3, 5, 6, 7, 10, 11, 12
57, 0, 1, 2, 3, 5, 6, 8, 9, 10, 13
57, 0, 1, 2, 3, 5, 6, 8, 9, 11, 12
57, 0, 1, 2, 3, 5, 7, 8, 9, 10, 12
57, 0, 1, 2, 3, 6, 7, 8, 9, 10, 11
57, 0, 1, 2, 4, 5, 6, 7, 8, 9, 15
57, 0, 1, 2, 4, 5, 6, 7, 8, 10, 14
57, 0, 1, 2, 4, 5, 6, 7, 8, 11, 13
57, 0, 1, 2, 4, 5, 6, 7, 9, 10, 13
57, 0, 1, 2, 4, 5, 6, 7, 9, 11, 12
57, 0, 1, 2, 4, 5, 6, 8, 9, 10, 12
57, 0, 1, 2, 4, 5, 7, 8, 9, 10, 11
57, 0, 1, 3, 4, 5, 6, 7, 8, 9, 14
57, 0, 1, 3, 4, 5, 6, 7, 8, 10, 13
57, 0, 1, 3, 4, 5, 6, 7, 8, 11, 12
