score, v[0], v[1], v[2], v[3], v[4]
26, 0, 2, 3, 6, 15
26, 0, 2, 3, 7, 14
26, 0, 2, 3, 8, 13
26, 0, 2, 3, 9, 12
26, 0, 2, 3, 10, 11
26, 0, 2, 4, 5, 15
26, 0, 2, 4, 6, 14
26, 0, 2, 4, 7, 13
26, 0, 2, 4, 8, 12
26, 0, 2, 4, 9, 11
26, 0, 2, 5, 6, 13
26, 0, 2, 5, 7, 12
26, 0, 2, 5, 8, 11
26, 0, 2, 5, 9, 10
26, 0, 2, 6, 7, 11
26, 0, 2, 6, 8, 10
26, 0, 2, 7, 8, 9
26, 0, 3, 4, 5, 14
26, 0, 3, 4, 6, 13
26, 0, 3, 4, 7, 12
26, 0, 3, 4, 8, 11
26, 0, 3, 4, 9, 10
26, 0, 3, 5, 6, 12
26, 0, 3, 5, 7, 11
26, 0, 3, 5, 8, 10
26, 0, 3, 6, 7, 10
26, 0, 3, 6, 8, 9
26, 0, 4, 5, 6, 11
26, 0, 4, 5, 7, 10
26, 0, 4, 5, 8, 9
26, 0, 4, 6, 7, 9
26, 0, 5, 6, 7, 8
26, 1, 2, 3, 4, 16
26, 1, 2, 3, 5, 15
26, 1, 2, 3, 6, 14
26, 1, 2, 3, 7, 13
26, 1, 2, 3, 8, 12
26, 1, 2, 3, 9, 11
26, 1, 2, 4, 5, 14
26, 1, 2, 4, 6, 13
26, 1, 2, 4, 7, 12
26, 1, 2, 4, 8, 11
26, 1, 2, 4, 9, 10
26, 1, 2, 5, 6, 12
26, 1, 2, 5, 7, 11
26, 1, 2, 5, 8, 10
26, 1, 2, 6, 7, 10
26, 1, 2, 6, 8, 9
26, 1, 3, 4, 5, 13
26, 1, 3, 4, 6, 12
26, 1, 3, 4, 7, 11
26, 1, 3, 4, 8, 10
26, 1, 3, 5, 6, 11
26, 1, 3, 5, 7, 10
26, 1, 3, 5, 8, 9
26, 1, 3, 6, 7, 9
26, 1, 4, 5, 6, 10
26, 1, 4, 5, 7, 9
26, 1, 4, 6, 7, 8
26, 2, 3, 4, 5, 12
26, 2, 3, 4, 6, 11
26, 2, 3, 4, 7, 10
26, 2, 3, 4, 8, 9
26, 2, 3, 5, 6, 10
26, 2, 3, 5, 7, 9
26, 2, 3, 6, 7, 8
26, 2, 4, 5, 6, 9
26, 2, 4, 5, 7, 8
26, 3, 4, 5, 6, 8
27, 0, 1, 2, 3, 21
27, 0, 1, 2, 4, 20
27, 0, 1, 2, 5, 19
27, 0, 1, 2, 6, 18
27, 0, 1, 2, 7, 17
27, 0, 1, 2, 8, 16
27, 0, 1, 2, 9, 15
27, 0, 1, 2, 10, 14
27, 0, 1, 2, 11, 13
27, 0, 1, 3, 4, 19
27, 0, 1, 3, 5, 18
27, 0, 1, 3, 6, 17
27, 0, 1, 3, 7, 16
27, 0, 1, 3, 8, 15
27, 0, 1, 3, 9, 14
27, 0, 1, 3, 10, 13
27, 0, 1, 3, 11, 12
27, 0, 1, 4, 5, 17
27, 0, 1, 4, 6, 16
27, 0, 1, 4, 7, 15
27, 0, 1, 4, 8, 14
27, 0, 1, 4, 9, 13
27, 0, 1, 4, 10, 12
27, 0, 1, 5, 6, 15
27, 0, 1, 5, 7, 14
27, 0, 1, 5, 8, 13
27, 0, 1, 5, 9, 12
27, 0, 1, 5, 10, 11
27, 0, 1, 6, 7, 13
27, 0, 1, 6, 8, 12
27, 0, 1, 6, 9, 11
27, 0, 1, 7, 8, 11
27, 0, 1, 7, 9, 10
27, 0, 2, 3, 4, 18
27, 0, 2, 3, 5, 17
27, 0, 2, 3, 6, 16
27, 0, 2, 3, 7, 15
27, 0, 2, 3, 8, 14
27, 0, 2, 3, 9, 13
27, 0, 2, 3, 10, 12
27, 0, 2, 4, 5, 16
27, 0, 2, 4, 6, 15
27, 0, 2, 4, 7, 14
27, 0, 2, 4, 8, 13
27, 0, 2, 4, 9, 12
27, 0, 2, 4, 10, 11
27, 0, 2, 5, 6, 14
27, 0, 2, 5, 7, 13
27, 0, 2, 5, 8, 12
27, 0, 2, 5, 9, 11
27, 0, 2, 6, 7, 12
27, 0, 2, 6, 8, 11
27, 0, 2, 6, 9, 10
27, 0, 2, 7, 8, 10
27, 0, 3, 4, 5, 15
27, 0, 3, 4, 6, 14
27, 0, 3, 4, 7, 13
27, 0, 3, 4, 8, 12
27, 0, 3, 4, 9, 11
27, 0, 3, 5, 6, 13
27, 0, 3, 5, 7, 12
27, 0, 3, 5, 8, 11
27, 0, 3, 5, 9, 10
27, 0, 3, 6, 7, 11
27, 0, 3, 6, 8, 10
27, 0, 3, 7, 8, 9
27, 0, 4, 5, 6, 12
27, 0, 4, 5, 7, 11
27, 0, 4, 5, 8, 10
27, 0, 4, 6, 7, 10
27, 0, 4, 6, 8, 9
27, 0, 5, 6, 7, 9
27, 1, 2, 3, 4, 17
27, 1, 2, 3, 5, 16
27, 1, 2, 3, 6, 15
27, 1, 2, 3, 7, 14
27, 1, 2, 3, 8, 13
27, 1, 2, 3, 9, 12
27, 1, 2, 3, 10, 11
27, 1, 2, 4, 5, 15
27, 1, 2, 4, 6, 14
27, 1, 2, 4, 7, 13
27, 1, 2, 4, 8, 12
27, 1, 2, 4, 9, 11
27, 1, 2, 5, 6, 13
27, 1, 2, 5, 7, 12
27, 1, 2, 5, 8, 11
27, 1, 2, 5, 9, 10
27, 1, 2, 6, 7, 11
27, 1, 2, 6, 8, 10
27, 1, 2, 7, 8, 9
27, 1, 3, 4, 5, 14
27, 1, 3, 4, 6, 13
27, 1, 3, 4, 7, 12
27, 1, 3, 4, 8, 11
27, 1, 3, 4, 9, 10
27, 1, 3, 5, 6, 12
27, 1, 3, 5, 7, 11
27, 1, 3, 5, 8, 10
27, 1, 3, 6, 7, 10
27, 1, 3, 6, 8, 9
27, 1, 4, 5, 6, 11
27, 1, 4, 5, 7, 10
27, 1, 4, 5, 8, 9
27, 1, 4, 6, 7, 9
27, 1, 5, 6, 7, 8
27, 2, 3, 4, 5, 13
27, 2, 3, 4, 6, 12
27, 2, 3, 4, 7, 11
27, 2, 3, 4, 8, 10
27, 2, 3, 5, 6, 11
27, 2, 3, 5, 7, 10
27, 2, 3, 5, 8, 9
27, 2, 3, 6, 7, 9
27, 2, 4, 5, 6, 10
27, 2, 4, 5, 7, 9
27, 2, 4, 6, 7, 8
27, 3, 4, 5, 6, 9
27, 3, 4, 5, 7, 8
28, 0, 1, 2, 3, 22
28, 0, 1, 2, 4, 21
28, 0, 1, 2, 5, 20
28, 0, 1, 2, 6, 19
28, 0, 1, 2, 7, 18
28, 0, 1, 2, 8, 17
28, 0, 1, 2, 9, 16
28, 0, 1, 2, 10, 15
28, 0, 1, 2, 11, 14
28, 0, 1, 2, 12, 13
28, 0, 1, 3, 4, 20
28, 0, 1, 3, 5, 19
28, 0, 1, 3, 6, 18
28, 0, 1, 3, 7, 17
28, 0, 1, 3, 8, 16
28, 0, 1, 3, 9, 15
28, 0, 1, 3, 10, 14
28, 0, 1, 3, 11, 13
28, 0, 1, 4, 5, 18
28, 0, 1, 4, 6, 17
